线路,行别,站区,隧道名称,锚段号,杆号,跨距,公里标,导高,拉出值,结构类型,GPS经度,GPS纬度
西环线,下行,生米-向塘,,,1079,56,55.882,6450,300,,,
西环线,下行,生米-向塘,,,1081,47,55.929,6450,300,,,
西环线,下行,生米-向塘,,,1083,47,55.976,6450,300,,,
西环线,下行,生米-向塘,,,1085,55,56.031,6450,300,,,
西环线,下行,生米-向塘,,,1087,60,56.091,6450,300,,,
西环线,下行,生米-向塘,,,1089,55,56.146,6450,300,硬锚,,
西环线,下行,生米-向塘,,,1091,55,56.201,6450,150,转换柱,,
西环线,下行,生米-向塘,,,1093,51.5,56.253,6450,150/300,中心柱,,
西环线,下行,生米-向塘,,,1095,40,56.293,6450,150,锚柱,,
西环线,下行,生米-向塘,,,1097,40,56.333,6450,150,锚柱,,
西环线,下行,生米-向塘,,,1099,33,56.366,6450,300/150,中心柱,,
西环线,下行,生米-向塘,,,1101,40,56.406,6450,150,转换柱,,
西环线,下行,生米-向塘,,,1103,40,56.446,6450,250,锚柱,,
西环线,下行,生米-向塘,,,1105,51.5,56.497,6450,250,,,
西环线,下行,生米-向塘,,,1107,49.78,56.547,6450,300,,,
西环线,下行,生米-向塘,,,1109,32.76,56.58,6450,250,,,
西环线,下行,生米-向塘,,,1111,32.76,56.613,6450,250,,,
西环线,下行,生米-向塘,,,1113,32.76,56.645,6450,250,,,
西环线,下行,生米-向塘,,,1115,32.76,56.678,6450,250,,,
西环线,下行,生米-向塘,,,1117,32.76,56.711,6450,250,,,
西环线,下行,生米-向塘,,,1119,32.76,56.744,6450,250,,,
西环线,下行,生米-向塘,,,1121,32.76,56.776,6450,250,,,
西环线,下行,生米-向塘,,,1123,32.76,56.809,6450,250,,,
西环线,下行,生米-向塘,,,1125,32.76,56.842,6450,250,,,
西环线,下行,生米-向塘,,,1127,32.76,56.875,6450,250,,,
西环线,下行,生米-向塘,,,1129,32.76,56.907,6450,250,,,
西环线,下行,生米-向塘,,,1131,32.76,56.94,6450,250,,,
西环线,下行,生米-向塘,,,1133,32.76,56.973,6450,250,,,
西环线,下行,生米-向塘,,,1135,32.76,57.006,6450,250,,,
西环线,下行,生米-向塘,,,1137,32.76,57.038,6450,250,,,
西环线,下行,生米-向塘,,,1139,32.76,57.071,6450,250,,,
西环线,下行,生米-向塘,,,1141,32.76,57.104,6450,250,,,
西环线,下行,生米-向塘,,,1143,32.76,57.137,6450,250,,,
西环线,下行,生米-向塘,,,1145,32.76,57.169,6450,250,,,
西环线,下行,生米-向塘,,,1147,32.76,57.202,6450,250,,,
西环线,下行,生米-向塘,,,1149,32.76,57.235,6450,250,,,
西环线,下行,生米-向塘,,,1151,32.76,57.268,6450,250,,,
西环线,下行,生米-向塘,,,1153,32.76,57.3,6450,250,,,
西环线,下行,生米-向塘,,,1155,32.76,57.333,6450,250,,,
西环线,下行,生米-向塘,,,1157,32.75,57.366,6450,150,,,
西环线,下行,生米-向塘,,,1159,32.73,57.399,6450,100,,,
西环线,下行,生米-向塘,,,1161,32.72,57.431,6450,300,,,
西环线,下行,生米-向塘,,,1163,32.71,57.464,6450,300,,,
西环线,下行,生米-向塘,,,1165,32.7,57.497,6450,300,,,
西环线,下行,生米-向塘,,,1167,32.7,57.53,6450,300,,,
西环线,下行,生米-向塘,,,1169,32.7,57.562,6450,300,,,
西环线,下行,生米-向塘,,,1171,32.7,57.595,6450,300,锚柱,,
西环线,下行,生米-向塘,,,1173,32.7,57.628,6450,300,转换柱,,
西环线,下行,生米-向塘,,,1175,32.7,57.66,6450,300/100,中心柱,,
西环线,下行,生米-向塘,,,1177,24.7,57.685,6450,150,转换柱,,
西环线,下行,生米-向塘,,,1179,24.71,57.71,6450,250,锚柱,,
西环线,下行,生米-向塘,,,1181,32.74,57.742,6450,400,,,
西环线,下行,生米-向塘,,,1183,32.78,57.775,6450,400,,,
西环线,下行,生米-向塘,,,1185,32.82,57.808,6450,400,,,
西环线,下行,生米-向塘,,,1187,32.85,57.841,6450,400,,,
西环线,下行,生米-向塘,,,1189,32.85,57.874,6450,400,,,
西环线,下行,生米-向塘,,,1191,45,57.919,6450,400,,,
西环线,下行,生米-向塘,,,1193,45,57.964,6450,400,,,
西环线,下行,生米-向塘,,,1195,45,58.009,6450,400,,,
西环线,下行,生米-向塘,,,1197,45,58.054,6450,400,,,
西环线,下行,生米-向塘,,,1199,45,58.099,6450,400,,,
西环线,下行,生米-向塘,,,1201,45,58.144,6450,400,,,
西环线,下行,生米-向塘,,,1203,40,58.184,6450,400,锚柱,,
西环线,下行,生米-向塘,,,1205,45,58.229,6450,400,转换柱,,
西环线,下行,生米-向塘,,,1207,45,58.274,6450,400/200,中心柱,,
西环线,下行,生米-向塘,,,1209,40,58.314,6450,300,转换柱,,
西环线,下行,生米-向塘,,,1211,40,58.354,6450,400,锚柱、吸上线,,
西环线,下行,生米-向塘,,,1213,40,58.394,6450,400,,,
西环线,下行,生米-向塘,,,1215,45,58.439,6450,400,,,
西环线,下行,生米-向塘,,,1217,45,58.484,6450,400,,,
西环线,下行,生米-向塘,,,1219,45,58.529,6450,400,,,
西环线,下行,生米-向塘,,,1221,45,58.574,6450,400,,,
西环线,下行,生米-向塘,,,1223,40,58.614,6450,400,,,
西环线,下行,生米-向塘,,,1225,45,58.659,6450,400,,,
西环线,下行,生米-向塘,,,1227,45,58.704,6450,400,,,
西环线,下行,生米-向塘,,,1229,45,58.749,6450,400,,,
西环线,下行,生米-向塘,,,1231,45,58.794,6450,400,,,
西环线,下行,生米-向塘,,,1233,45,58.839,6450,400,,,
西环线,下行,生米-向塘,,,1235,40,58.879,6450,250,,,
西环线,下行,生米-向塘,,,1237,40,58.919,6450,150,,,
西环线,下行,生米-向塘,,,1239,45,58.964,6450,300,,,
西环线,下行,生米-向塘,,,1241,40,59.004,6450,300,,,
西环线,下行,生米-向塘,,,1243,40,59.044,6450,300,,,
西环线,下行,生米-向塘,,,1245,40,59.084,6450,150,,,
西环线,下行,生米-向塘,,,1247,40,59.124,6450,400,,,
西环线,下行,生米-向塘,,,1249,40,59.164,6450,400,,,
西环线,下行,生米-向塘,,,1251,40,59.204,6450,400,,,
西环线,下行,生米-向塘,,,1253,45,59.249,6450,400,,,
西环线,下行,生米-向塘,,,XH01,40,59.295,6450,300,锚柱,,
西环线,下行,生米-向塘,,,XH03,40,59.334,6450,300,转换柱,,
西环线,下行,生米-向塘,,,XH05,40,59.369,6450,300/150,中心柱,,
西环线,下行,生米-向塘,,,XH07,35,59.404,6450,300/150,中心柱,,
西环线,下行,生米-向塘,,,XH09,40,59.439,6450,150/300,转换柱,,
西环线,下行,生米-向塘,,,XH11,40,59.496,6450,750/300,锚柱,,
西环线,下行,向塘站,,,,,,,,,,
